host_guid,host_taxon,host_collection,host_group,parasite_record_count,parasite_taxon_count,latitude,longitude,mappable,min_year,max_year,host_url
MSB:Mamm:350542,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.831715,-105.322208,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350542
MSB:Mamm:350543,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.831902,-105.321433,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350543
MSB:Mamm:350535,Peromyscus maniculatus,MSB:Mamm,Mammal,2,2,36.83149598,-105.324683,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350535
MSB:Mamm:350484,Neotamias quadrivittatus,MSB:Mamm,Mammal,1,1,36.74418697,-105.451134,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350484
MSB:Mamm:350544,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.83135097,-105.323406,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350544
MSB:Mamm:350545,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.83148298,-105.325109,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350545
MSB:Mamm:350546,Peromyscus maniculatus,MSB:Mamm,Mammal,2,2,36.83264304,-105.316642,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350546
MSB:Mamm:350549,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.83375901,-105.314189,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350549
MSB:Mamm:350321,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74125096,-105.455468,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350321
MSB:Mamm:350323,Peromyscus maniculatus,MSB:Mamm,Mammal,2,2,36.74125096,-105.455195,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350323
MSB:Mamm:350324,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74029903,-105.456363,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350324
MSB:Mamm:350326,Peromyscus maniculatus,MSB:Mamm,Mammal,2,2,36.74419904,-105.451012,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350326
MSB:Host:7041,Alopex,MSB:Host,Host collection,3,3,63.77972,-171.74111000000002,True,1955.0,1955.0,https://arctos.database.museum/guid/MSB:Host:7041
MSB:Mamm:350328,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74448302,-105.450658,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350328
MSB:Mamm:350558,Microtus montanus,MSB:Mamm,Mammal,1,1,36.83385699,-105.313478,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350558
MSB:Mamm:350556,Microtus montanus,MSB:Mamm,Mammal,2,2,36.83391097,-105.312604,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350556
MSB:Mamm:350560,Microtus longicaudus,MSB:Mamm,Mammal,2,2,36.83392899,-105.312863,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350560
MSB:Mamm:350563,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.831773,-105.321905,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350563
MSB:Mamm:350570,Peromyscus maniculatus,MSB:Mamm,Mammal,2,2,36.83158499,-105.324554,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350570
MSB:Mamm:350568,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.83418397,-105.312242,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350568
MSB:Mamm:350353,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74281301,-105.453251,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350353
MSB:Mamm:350566,Microtus montanus,MSB:Mamm,Mammal,1,1,36.83154903,-105.323182,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350566
MSB:Mamm:350467,Neotamias quadrivittatus,MSB:Mamm,Mammal,1,1,36.74494101,-105.450018,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350467
MSB:Mamm:350437,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74029299,-105.456338,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350437
MSB:Mamm:350441,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.741604,-105.454844,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350441
MSB:Mamm:350526,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74292902,-105.453047,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350526
MSB:Mamm:350523,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74355003,-105.452088,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350523
MSB:Mamm:350440,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.74287998,-105.453354,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350440
MSB:Mamm:350465,Neotamias quadrivittatus,MSB:Mamm,Mammal,1,1,36.74391003,-105.45183,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350465
MSB:Mamm:350380,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.74323102,-105.452666,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350380
MSB:Mamm:349398,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.40998096,-106.258744,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:349398
MSB:Mamm:350295,Peromyscus maniculatus,MSB:Mamm,Mammal,2,2,36.77379001,-105.09138,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350295
MSB:Mamm:350300,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.76861603,-105.086988,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350300
MSB:Mamm:350312,Microtus longicaudus,MSB:Mamm,Mammal,1,1,36.77014598,-105.08984,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350312
MSB:Mamm:350331,Zapus princeps,MSB:Mamm,Mammal,3,3,36.74297503,-105.452875,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350331
MSB:Host:7062,Alopex,MSB:Host,Host collection,4,4,,,False,1955.0,1955.0,https://arctos.database.museum/guid/MSB:Host:7062
MSB:Mamm:350329,Sorex navigator,MSB:Mamm,Mammal,1,1,36.74024303,-105.45651,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350329
MSB:Mamm:350350,Microtus longicaudus,MSB:Mamm,Mammal,2,2,36.74501896,-105.449913,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350350
MSB:Mamm:350371,Zapus princeps,MSB:Mamm,Mammal,1,1,36.74279901,-105.453372,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350371
MSB:Mamm:350318,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.768885,-105.086873,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350318
MSB:Mamm:350277,Peromyscus maniculatus,MSB:Mamm,Mammal,1,1,36.77034496,-105.089277,True,2023.0,2023.0,https://arctos.database.museum/guid/MSB:Mamm:350277
